"School.Name","County","School.Code","School.ID","County.Number","FIPS.State.Code","ZIP","Address","City","State","Longitude","Latitude","Total.Students","Free.Lunch","Reduced.price.Lunch","Total.Free.and.Reduced.Lunch","Full.Time.Equivalent.Teachers","Pupil.Teacher.Ratio"
"CASA ESPERANZA MONTESSORI CHARTER SCHOOL","WAKE COUNTY","92R000",3.70013e+11,37183,37,27616,"2600 SUMNER BLVD 130","RALEIGH","NC ",-78.5904,35.8728,392,77,0,77,17.6,22.27
"CASAR ELEMENTARY","CLEVELAND COUNTY","230320",3.7009e+11,37045,37,28020,"436 SCHOOLHOUSE RD","CASAR","NC ",-81.6208,35.5076,276,158,18,176,21.5,12.84
"CASH ELEMENTARY","FORSYTH COUNTY","340334",3.7015e+11,37067,37,27284,"4700 OLD HOLLOW RD","KERNERSVILLE","NC ",-80.1227,36.1363,680,199,39,238,45.23,15.03
"CASTLE HAYNE ELEMENTARY","NEW HANOVER COUNTY","650309",3.70333e+11,37129,37,28429,"3925 ROGER HAYNES DR","CASTLE HAYNE","NC ",-77.892,34.3516,502,286,45,331,36.5,13.75
"CASWELL CENTER","LENOIR COUNTY",NA,3.7e+11,37107,37,28504,"2415 WEST VERNON AVE","KINSTON","NC ",-77.6147,35.2694,NA,NA,NA,NA,NA,NA
"CATAWBA ELEMENTARY SCHOOL","CATAWBA COUNTY","180324",3.70069e+11,37035,37,28609,"5415 HUDSON CHAPEL RD","CATAWBA","NC ",-81.0729,35.6964,490,294,42,336,34,14.41
"CATAWBA HEIGHTS ELEMENTARY","GASTON COUNTY","360348",3.70162e+11,37071,37,28012,"101 IVEY ST","BELMONT","NC ",-81.0375,35.2745,336,206,18,224,22.7,14.8
"CATAWBA ROSENWALD EDUCATION CENTER","CATAWBA COUNTY","180323",3.70069e+11,37035,37,28609,"403 6TH AVE SW","CATAWBA","NC ",-81.0756,35.7019,46,32,7,39,14.06,3.27
"CATAWBA SPRINGS ELEMENTARY","LINCOLN COUNTY","550314",3.70268e+11,37109,37,28037,"206 NORTH LITTLE EGYPT RD","DENVER","NC ",-81.0217,35.4554,529,136,30,166,34.08,15.52
"CATO MIDDLE COLLEGE HIGH","MECKLENBURG COUNTY","600334",3.70297e+11,37119,37,28215,"8120 GRIER RD","CHARLOTTE","NC ",-80.7312,35.2649,205,53,19,72,6,34.17
"CCCA - SOUTHEASTERN CAMPUS","COLUMBUS COUNTY","240373",3.70096e+11,37047,37,28472,"4564 CHADBOURN HWY","WHITEVILLE","NC ",-78.7824,34.332,220,104,19,123,11.27,19.52
"CEASAR CONE ELEMENTARY","GUILFORD COUNTY","410349",3.70192e+11,37081,37,27405,"2501 NORTH CHURCH ST","GREENSBORO","NC ",-79.7818,36.108,438,425,7,432,33.5,13.07
"CEDAR CREEK MIDDLE","FRANKLIN COUNTY","350312",3.70153e+11,37069,37,27596,"2228 CEDAR CREEK RD","YOUNGSVILLE","NC ",-78.4504,36.041,587,234,42,276,37.03,15.85
"CEDAR FORK ELEMENTARY","WAKE COUNTY","920369",3.70472e+11,37183,37,27560,"1050 TOWN HALL DR","MORRISVILLE","NC ",-78.8396,35.8368,853,44,18,62,52,16.4
"CEDAR GROVE ELEMENTARY","NASH COUNTY","640316",3.70327e+11,37127,37,27856,"8967 CEDAR GROVE SCH LOOP RD","NASHVILLE","NC ",-77.9692,36.0762,196,149,15,164,12.5,15.68
"CEDAR GROVE MIDDLE","BRUNSWICK COUNTY","100309",3.70042e+11,37019,37,28462,"750 GROVE TRAIL SW","SUPPLY","NC ",-78.2734,33.9652,488,308,29,337,35.65,13.69
"CEDAR RIDGE ELEMENTARY","SURRY COUNTY","860302",3.70441e+11,37171,37,27024,"734 FLIPPIN RD","LOWGAP","NC ",-80.7882,36.5082,366,234,39,273,24.87,14.72
"CEDAR RIDGE HIGH","ORANGE COUNTY","680310",3.70348e+11,37135,37,27278,"1125 NEW GRADY BROWN SCH RD","HILLSBOROUGH","NC ",-79.1262,36.0541,1127,290,56,346,70.29,16.03
"CELESTE HENKEL ELEMENTARY","IREDELL COUNTY","490312",3.70231e+11,37097,37,28677,"1503 OLD MOUNTAIN RD","STATESVILLE","NC ",-80.9753,35.7554,582,340,36,376,34.5,16.87
"CENTENNIAL CAMPUS MIDDLE","WAKE COUNTY","920370",3.70472e+11,37183,37,27606,"1900 MAIN CAMPUS DR","RALEIGH","NC ",-78.6887,35.7578,587,235,32,267,40.58,14.47
"CENTER FOR INNOVATIVE LEARNING","GRANVILLE COUNTY","390314",3.7018e+11,37077,37,27565,"3144 WEBB SCHOOL RD","OXFORD","NC ",-78.5962,36.339,41,30,1,31,9,4.56
"CENTRAL ACADEMY OF TECHNOLOGY & ARTS","UNION COUNTY","900366",3.70462e+11,37179,37,28112,"600 BREWER DR","MONROE","NC ",-80.5688,34.9709,822,146,54,200,51.34,16.01
"CENTRAL CABARRUS HIGH","CABARRUS COUNTY","130310",3.70053e+11,37025,37,28025,"505 HWY 49 SOUTH","CONCORD","NC ",-80.5839,35.3627,1259,490,138,628,83.27,15.12
"CENTRAL DAVIDSON HIGH","DAVIDSON COUNTY","290308",3.70114e+11,37057,37,27292,"2747 NC HWY 47","LEXINGTON","NC ",-80.2231,35.7395,993,367,81,448,58.22,17.06
"CENTRAL DAVIDSON MIDDLE","DAVIDSON COUNTY","290309",3.70114e+11,37057,37,27292,"2591 NC HWY 47","LEXINGTON","NC ",-80.2252,35.7409,815,374,62,436,45.56,17.89
"CENTRAL DAVIE ACADEMY","DAVIE COUNTY","300306",3.70117e+11,37059,37,27028,"160 CAMPBELL RD","MOCKSVILLE","NC ",-80.5522,35.9079,24,19,2,21,5,4.8
"CENTRAL ELEMENTARY","CURRITUCK COUNTY","270304",3.70108e+11,37053,37,27917,"504 SHORTCUT RD","BARCO","NC ",-76.0092,36.3892,171,103,0,103,18,9.5
"CENTRAL ELEMENTARY","HAYWOOD COUNTY","440324",3.70204e+11,37087,37,28786,"62 JOY LN","WAYNESVILLE","NC ",-82.993,35.486,260,186,15,201,24.5,10.61
"CENTRAL ELEMENTARY","IREDELL COUNTY","490316",3.70231e+11,37097,37,28677,"4083 WILKESBORO HWY","STATESVILLE","NC ",-80.9589,35.9273,326,123,15,138,19.2,16.98
"CENTRAL ELEMENTARY","NORTHAMPTON COUNTY","660306",3.70342e+11,37131,37,27845,"9742 NC HWY 305","JACKSON","NC ",-77.4342,36.4186,279,221,20,241,22.73,12.27
"CENTRAL ELEMENTARY","ORANGE COUNTY","680312",3.70348e+11,37135,37,27278,"154 HAYES ST","HILLSBOROUGH","NC ",-79.1146,36.08,346,239,27,266,31.23,11.08
"CENTRAL ELEMENTARY","PASQUOTANK COUNTY","700306",3.70354e+11,37139,37,27909,"1059 US HWY 17","ELIZABETH CITY","NC ",-76.2634,36.2879,376,193,28,221,22.5,16.71
"CENTRAL ELEMENTARY","ROCKINGHAM COUNTY","790310",3.70399e+11,37157,37,27288,"435 EAST STADIUM DR","EDEN","NC ",-79.7309,36.5044,474,265,20,285,29.8,15.91
"CENTRAL ELEMENTARY","STANLY COUNTY","840310",3.70432e+11,37167,37,28001,"206 NORTH 3RD ST","ALBEMARLE","NC ",-80.1954,35.3549,578,416,45,461,40.79,14.17
"CENTRAL HAYWOOD HIGH","HAYWOOD COUNTY","440326",3.70204e+11,37087,37,28721,"3215 BROAD ST","CLYDE","NC ",-82.9128,35.5344,60,41,5,46,11.52,5.21
"CENTRAL MIDDLE","COLUMBUS COUNTY","241304",3.70492e+11,37047,37,28472,"310 SOUTH MARTIN L KING JR AVE","WHITEVILLE","NC ",-78.7106,34.3273,511,298,41,339,37,13.81
"CENTRAL MIDDLE","GATES COUNTY","370308",3.70168e+11,37073,37,27938,"362 US HWY 158","GATESVILLE","NC ",-76.727,36.4365,389,171,48,219,30,12.97
"CENTRAL MIDDLE","SURRY COUNTY","860306",3.70441e+11,37171,37,27017,"883 ZEPHYR RD","DOBSON","NC ",-80.7345,36.3959,696,419,71,490,40.39,17.23
"CENTRAL PARK SCHOOL FOR CHILD","DURHAM COUNTY","32K000",3.70013e+11,37063,37,27701,"724 FOSTER ST","DURHAM","NC ",-78.901,36.0046,317,22,9,31,26.5,11.96
"CENTRAL WILKES MIDDLE","WILKES COUNTY","970315",3.70495e+11,37193,37,28654,"3541 SOUTH NC HWY 16","MORAVIAN FALLS","NC ",-81.1775,36.0941,746,433,53,486,42.53,17.54
"CERRO GORDO ELEMENTARY","COLUMBUS COUNTY","240328",3.70096e+11,37047,37,28430,"7685 ANDREW JACKSON HWY","CERRO GORDO","NC ",-78.931,34.329,367,239,31,270,21.5,17.07
"CHADBOURN ELEMENTARY","COLUMBUS COUNTY","240332",3.70096e+11,37047,37,28431,"409 EAST THIRD AVE","CHADBOURN","NC ",-78.8206,34.3253,302,269,16,285,18.32,16.48
"CHADBOURN MIDDLE","COLUMBUS COUNTY","240330",3.70096e+11,37047,37,28431,"801 WEST SMITH ST","CHADBOURN","NC ",-78.8346,34.3161,151,130,7,137,12.33,12.25
"CHALLENGER EARLY COLLEGE HIGH","CATAWBA COUNTY","180325",3.70069e+11,37035,37,28602,"2550 HWY 70 SE","HICKORY","NC ",-81.2881,35.6995,353,131,35,166,13.05,27.05
"CHALONER MIDDLE","HALIFAX COUNTY","421306",3.7039e+11,37083,37,27870,"2100 VIRGINIA AVE","ROANOKE RAPIDS","NC ",-77.6594,36.4413,742,357,62,419,41.2,18.01
"CHANTILLY MONTESSORI","MECKLENBURG COUNTY","600336",3.70297e+11,37119,37,28205,"701 BRIAR CREEK RD","CHARLOTTE","NC ",-80.8003,35.2077,255,37,20,57,18.05,14.13
"CHAPEL GROVE ELEMENTARY","GASTON COUNTY","360352",3.70162e+11,37071,37,28052,"5201 LEWIS RD","GASTONIA","NC ",-81.2483,35.2073,439,316,33,349,30.1,14.58
"CHAPEL HILL HIGH","ORANGE COUNTY","681308",3.70072e+11,37135,37,27516,"1709 HIGH SCHOOL RD","CHAPEL HILL","NC ",-79.0803,35.9465,1412,254,45,299,88.19,16.01
"CHARITY MIDDLE","DUPLIN COUNTY","310324",3.7012e+11,37061,37,28458,"1333 WEST CHARITY RD","ROSE HILL","NC ",-77.9682,34.8241,544,365,34,399,30.81,17.66
"CHARLES B AYCOCK HIGH","WAYNE COUNTY","960324",3.70488e+11,37191,37,27863,"5460 US 117 NORTH","PIKEVILLE","NC ",-77.9801,35.5091,1187,398,53,451,71,16.72
"CHARLES E BOGER ELEMENTARY","CABARRUS COUNTY","130325",3.70053e+11,37025,37,28081,"5150 DOVE FIELD LN","KANNAPOLIS","NC ",-80.6621,35.4552,817,215,57,272,49.68,16.45
"CHARLES ENGLAND ELEMENTARY SCHOOL","DAVIDSON COUNTY","291308",3.70264e+11,37057,37,27292,"111 CORNELIA DR","LEXINGTON","NC ",-80.2392,35.8168,611,489,23,512,36.85,16.58
"CHARLES H DARDEN MIDDLE","WILSON COUNTY","980317",3.70502e+11,37195,37,27893,"1665 LIPSCOMB RD","WILSON","NC ",-77.8861,35.719,358,305,20,325,22.8,15.7
"CHARLES H TUTTLE ELEMENTARY","CATAWBA COUNTY","180326",3.70069e+11,37035,37,28650,"2872 WATER PLANT RD","MAIDEN","NC ",-81.1565,35.5879,521,194,33,227,31.79,16.39
"CHARLES P MURRAY MIDDLE","NEW HANOVER COUNTY","650310",3.70333e+11,37129,37,28412,"655 HALYBURTON MEMORIAL PARKWY","WILMINGTON","NC ",-77.905,34.0984,850,278,62,340,53,16.04
"CHARLES W MCCRARY ELEMENTARY","RANDOLPH COUNTY","761320",3.70024e+11,37151,37,27203,"400 ROSS ST","ASHEBORO","NC ",-79.818,35.7128,414,351,20,371,37,11.19
"CHARLES W STANFORD MIDDLE","ORANGE COUNTY","680316",3.70348e+11,37135,37,27278,"308 ORANGE HIGH RD","HILLSBOROUGH","NC ",-79.095,36.0896,641,186,32,218,41.67,15.38
"CHARLOTTE CHOICE CHARTER","MECKLENBURG COUNTY","60P000",3.70034e+11,37119,37,28205,"1000 ANDERSON ST","CHARLOTTE","NC ",-80.7949,35.2441,197,133,16,149,12.44,15.84
"CHARLOTTE LEARNING ACADEMY","MECKLENBURG COUNTY","60V000",3.70036e+11,37119,37,28277,"TBD","TBD","NC ",-80.8647,35.1817,NA,NA,NA,NA,NA,NA
"CHARLOTTE SECONDARY","MECKLENBURG COUNTY","60K000",3.70014e+11,37119,37,28211,"8601 MCALPINE PARK DR","CHARLOTTE","NC ",-80.7486,35.152,330,49,9,58,23.01,14.34
"CHARTER DAY SCHOOL","BRUNSWICK COUNTY","10A000",3.7001e+11,37019,37,28451,"7055 BACON'S WAY","LELAND","NC ",-78.1362,34.2829,925,152,183,335,49.66,18.63
"CHASE HIGH SCHOOL","RUTHERFORD COUNTY","810324",3.70408e+11,37161,37,28043,"1603 CHASE HIGH RD","FOREST CITY","NC ",-81.8434,35.2514,746,371,41,412,48.7,15.32
"CHASE MIDDLE SCHOOL","RUTHERFORD COUNTY","810326",3.70408e+11,37161,37,28043,"840 CHASE HIGH RD","FOREST CITY","NC ",-81.8461,35.2702,732,454,42,496,41.26,17.74
"CHATHAM CENTRAL HIGH","CHATHAM COUNTY","190316",3.70075e+11,37037,37,27207,"14950 NC HWY 902 WEST","BEAR CREEK","NC ",-79.3906,35.6151,395,113,21,134,29.75,13.28
"CHATHAM CHARTER","CHATHAM COUNTY","19A000",3.70002e+11,37037,37,27344,"2200 HAMP STONE RD","SILER CITY","NC ",-79.4796,35.7425,439,36,30,66,30.9,14.21
"CHATHAM MIDDLE","CHATHAM COUNTY","190312",3.70075e+11,37037,37,27344,"2025 SOUTH 2ND AVE EXT","SILER CITY","NC ",-79.4467,35.707,529,439,28,467,34.7,15.24
"CHEROKEE EXTENSION SCHOOL","SWAIN COUNTY",NA,3.70444e+11,37173,37,28713,"280 SCHOOL DR","BRYSON CITY","NC ",-83.449,35.4229,85,NA,NA,NA,5,17
"CHERRYVILLE ELEMENTARY","GASTON COUNTY","360364",3.70162e+11,37071,37,28021,"700 EAST ACADEMY ST","CHERRYVILLE","NC ",-81.3717,35.3782,420,253,32,285,25.9,16.22
"CHERRYVILLE HIGH","GASTON COUNTY","360360",3.70162e+11,37071,37,28021,"313 RIDGE AVE","CHERRYVILLE","NC ",-81.3799,35.3897,591,242,48,290,39.33,15.03
"CHESTERFIELD ELEMENTARY","BURKE COUNTY","120304",3.70048e+11,37023,37,28655,"2142 PAX HILL RD","MORGANTON","NC ",-81.6643,35.8108,198,168,21,189,14.56,13.6
"CHESTNUT GROVE MIDDLE","STOKES COUNTY","850304",3.70438e+11,37169,37,27021,"2185 CHESTNUT GROVE RD","KING","NC ",-80.375,36.32,776,282,76,358,49.15,15.79
"CHICOD","PITT COUNTY","740332",3.70001e+11,37147,37,27834,"7557 NC 43 SOUTH","GREENVILLE","NC ",-77.2732,35.4639,962,320,35,355,63.43,15.17
"CHILDERS ELEMENTARY","LINCOLN COUNTY","550340",3.70268e+11,37109,37,28092,"2595 ROCK DAM RD","LINCOLNTON","NC ",-81.3176,35.4812,443,235,44,279,32.49,13.63
"CHILDREN'S VILLAGE ACADEMY","LENOIR COUNTY","54A000",3.70003e+11,37107,37,28501,"701 NORTH ADKIN ST","KINSTON","NC ",-77.5678,35.2661,241,208,17,225,11.73,20.55
"CHILDRENS CENTER","FORSYTH COUNTY","340344",3.7015e+11,37067,37,27106,"2315 COLISEUM DR","WINSTON SALEM","NC ",-80.2788,36.117,53,28,5,33,15.07,3.52
"CHINA GROVE ELEMENTARY","ROWAN COUNTY","800316",3.70405e+11,37159,37,28023,"514 SOUTH FRANKLIN ST","CHINA GROVE","NC ",-80.584,35.5683,587,362,32,394,34.2,17.16
"CHINA GROVE MIDDLE","ROWAN COUNTY","800320",3.70405e+11,37159,37,28023,"1013 NORTH MAIN ST","CHINA GROVE","NC ",-80.5699,35.5772,617,259,42,301,42.5,14.52
"CHINQUAPIN ELEMENTARY","DUPLIN COUNTY","310330",3.7012e+11,37061,37,28521,"3894 NC 50 SOUTH","CHINQUAPIN","NC ",-77.8114,34.8246,597,296,67,363,39.9,14.96
"CHOCOWINITY MIDDLE","BEAUFORT COUNTY","070325",3.70033e+11,37013,37,27817,"3831 US HWY 17 SOUTH","CHOCOWINITY","NC ",-77.102,35.5096,441,264,42,306,29.49,14.95
"CHOCOWINITY PRIMARY","BEAUFORT COUNTY","070326",3.70033e+11,37013,37,27817,"606 GRAY RD","CHOCOWINITY","NC ",-77.0947,35.4987,517,349,53,402,41.1,12.58
"CHOWAN MIDDLE","CHOWAN COUNTY","210304",3.70084e+11,37041,37,27980,"2845 VIRGINIA RD","TYNER","NC ",-76.6561,36.2331,535,305,38,343,39,13.72
"CHURCHLAND ELEMENTARY","DAVIDSON COUNTY","290312",3.70114e+11,37057,37,27295,"7571 SOUTH NC HWY 150","LEXINGTON","NC ",-80.4163,35.7885,460,287,30,317,32.4,14.2
"CIS ACADEMY","ROBESON COUNTY","78A000",3.70004e+11,37155,37,28372,"818 WEST 3RD ST","PEMBROKE","NC ",-79.2034,34.685,109,65,15,80,8.75,12.46
"CITY OF MEDICINE ACADEMY","DURHAM COUNTY","320317",3.70126e+11,37063,37,27704,"301 CRUTCHFIELD RD","DURHAM","NC ",-78.9026,36.0388,323,170,16,186,22.5,14.36
"CLARA J PECK ELEMENTARY","GUILFORD COUNTY","410514",3.70192e+11,37081,37,27403,"1601 WEST FLORIDA ST","GREENSBORO","NC ",-79.8181,36.0512,336,316,17,333,29.1,11.55
"CLAREMONT ELEMENTARY","CATAWBA COUNTY","180332",3.70069e+11,37035,37,28610,"3384 EAST MAIN ST","CLAREMONT","NC ",-81.1434,35.7159,383,207,29,236,29.17,13.13
"CLARKE ELEMENTARY","VANCE COUNTY","910311",3.70465e+11,37181,37,27537,"309 MOUNT CARMEL CHURCH RD","HENDERSON","NC ",-78.3679,36.3016,466,443,20,463,35,13.31
"CLARKTON SCHOOL OF DISCOVERY","BLADEN COUNTY","090320",3.70039e+11,37017,37,28433,"10000 NORTH COLLEGE ST","CLARKTON","NC ",-78.6523,34.4947,302,157,21,178,17.05,17.71
"CLAXTON ELEMENTARY","BUNCOMBE COUNTY","111312",3.70027e+11,37021,37,28801,"241 MERRIMON AVE","ASHEVILLE","NC ",-82.5532,35.6078,446,172,16,188,27.58,16.17
"CLAXTON ELEMENTARY","GUILFORD COUNTY","410343",3.70192e+11,37081,37,27410,"3720 PINETOP RD","GREENSBORO","NC ",-79.8612,36.1117,617,151,36,187,37.63,16.4
"CLAYTON HIGH","JOHNSTON COUNTY","510324",3.70237e+11,37101,37,27520,"600 SOUTH FAYETTEVILLE ST","CLAYTON","NC ",-78.4664,35.65,1475,378,67,445,87.59,16.84
"CLAYTON MIDDLE","JOHNSTON COUNTY","510412",3.70237e+11,37101,37,27520,"490 GUY RD","CLAYTON","NC ",-78.4848,35.6452,785,268,62,330,49.37,15.9
"CLEAR CREEK ELEMENTARY","HENDERSON COUNTY","450307",3.7021e+11,37089,37,28792,"737 NORTH CLEAR CREEK RD","HENDERSONVILLE","NC ",-82.4419,35.3739,509,294,43,337,33.83,15.05
"CLEAR CREEK ELEMENTARY","MECKLENBURG COUNTY","600338",3.70297e+11,37119,37,28227,"13501 ALBEMARLE RD","CHARLOTTE","NC ",-80.6252,35.2238,660,316,56,372,37,17.84
"CLEARMONT ELEMENTARY","YANCEY COUNTY","995320",3.70507e+11,37199,37,28714,"1175 CLEARMONT SCHOOL RD","BURNSVILLE","NC ",-82.2974,35.9764,126,66,14,80,7.21,17.48
"CLEMENT ELEMENTARY","SAMPSON COUNTY","820320",3.70414e+11,37163,37,28318,"3220 MAXWELL RD","AUTRYVILLE","NC ",-78.5888,35.1047,386,258,30,288,28.2,13.69
"CLEMMONS ELEMENTARY","FORSYTH COUNTY","340348",3.7015e+11,37067,37,27012,"6200 BINGHAM AVE","CLEMMONS","NC ",-80.3754,36.0255,741,106,29,135,44.95,16.48
"CLEMMONS MIDDLE SCHOOL","FORSYTH COUNTY","340350",3.7015e+11,37067,37,27127,"3785 FRATERNITY CHURCH RD","WINSTON-SALEM","NC ",-80.3432,36.026,918,383,59,442,55.23,16.62
"CLEVELAND ECHS","CLEVELAND COUNTY","230322",3.7009e+11,37045,37,28152,"1800 EAST MARION ST","SHELBY","NC ",-81.4875,35.2772,199,112,20,132,9.12,21.82
"CLEVELAND ELEMENTARY","JOHNSTON COUNTY","510328",3.70237e+11,37101,37,27520,"10225 CLEVELAND RD","CLAYTON","NC ",-78.5429,35.5799,847,209,40,249,50,16.94
"CLEVELAND ELEMENTARY","ROWAN COUNTY","800324",3.70405e+11,37159,37,27013,"107 SCHOOL ST","CLEVELAND","NC ",-80.6822,35.731,294,143,27,170,20.5,14.34
"CLEVELAND HIGH","JOHNSTON COUNTY","510327",3.70237e+11,37101,37,27520,"1892 POLENTA RD","CLAYTON","NC ",-78.5001,35.5515,1390,304,70,374,81.42,17.07
"CLEVELAND MIDDLE","JOHNSTON COUNTY","510329",3.70237e+11,37101,37,27529,"2323 CORNWALLIS RD","GARNER","NC ",-78.5488,35.5749,1147,241,49,290,63.5,18.06
"CLIFFDALE ELEMENTARY","CUMBERLAND COUNTY","260338",3.70001e+11,37051,37,28304,"6450 CLIFFDALE RD","FAYETTEVILLE","NC ",-78.9953,35.0594,583,443,58,501,47.94,12.16
"CLIFFSIDE ELEMENTARY SCHOOL","RUTHERFORD COUNTY","810328",3.70408e+11,37161,37,28024,"4016 US HWY 221A","CLIFFSIDE","NC ",-81.7698,35.2467,355,267,21,288,23.3,15.24
"CLINTON HIGH","SAMPSON COUNTY","821308",3.70093e+11,37163,37,28328,"340 INDIAN TOWN RD","CLINTON","NC ",-78.3291,34.9738,814,NA,NA,NA,52.4,15.53
"CLOVER GARDEN","ALAMANCE COUNTY","01C000",3.70012e+11,37001,37,27217,"2454 ALTAMHAW UNION RIDGE RD","BURLINGTON","NC ",-79.4711,36.187,555,123,53,176,29.66,18.71
"CLOVERLEAF ELEMENTARY","IREDELL COUNTY","490319",3.70231e+11,37097,37,28625,"300 JAMES FARM RD","STATESVILLE","NC ",-80.8626,35.8233,767,464,46,510,46.63,16.45
"CLUB BOULEVARD ELEMENTARY","DURHAM COUNTY","320318",3.70126e+11,37063,37,27704,"400 WEST CLUB BLVD","DURHAM","NC ",-78.8967,36.0193,523,282,32,314,33.3,15.71
"CLYDE CAMPBELL ELEMENTARY","CATAWBA COUNTY","180336",3.70069e+11,37035,37,28601,"2121 35TH AVE DR NE","HICKORY","NC ",-81.2866,35.7777,531,186,20,206,32,16.59
"CLYDE ELEMENTARY","HAYWOOD COUNTY","440328",3.70204e+11,37087,37,28721,"4182 OLD CLYDE RD","CLYDE","NC ",-82.8949,35.5326,483,301,29,330,35,13.8
"CLYDE ERWIN ELEMENTARY","ONSLOW COUNTY","670312",3.70345e+11,37133,37,28540,"323 NEW RIVER DR","JACKSONVILLE","NC ",-77.4125,34.7558,496,314,46,360,32.5,15.26
"COASTAL ACADEMY FOR TECHNOLOGY AND SCIEN","CARTERET COUNTY",NA,3.70005e+11,37031,37,28557,"1108 BRIDGES ST","MOREHEAD CITY","NC ",-76.7174,34.7233,43,40,0,40,3.22,13.35
"COATS-ERWIN MIDDLE","HARNETT COUNTY","430330",3.70201e+11,37085,37,28334,"2833 NC HWY 55E","DUNN","NC ",-78.6605,35.3733,710,419,57,476,48.88,14.53
"COATS ELEMENTARY","HARNETT COUNTY","430328",3.70201e+11,37085,37,27521,"585 BRICK MILL RD","COATS","NC ",-78.6797,35.4002,703,434,56,490,51.12,13.75
"COCHRANE COLLEGIATE ACADEMY","MECKLENBURG COUNTY","600341",3.70297e+11,37119,37,28215,"6200 STARHAVEN DR","CHARLOTTE","NC ",-80.7501,35.2465,986,816,39,855,63.19,15.6
"CODDLE CREEK ELEMENTARY","IREDELL COUNTY","490318",3.70231e+11,37097,37,28115,"484 PRESBYTERIAN RD","MOORESVILLE","NC ",-80.8125,35.5182,515,113,28,141,32.4,15.9
"COKER-WIMBERLY ELEMENTARY","EDGECOMBE COUNTY","330312",3.70132e+11,37065,37,27809,"1619 NC 97 WEST","BATTLEBORO","NC ",-77.604,35.9774,412,377,32,409,26.5,15.55
"COLERAIN ELEMENTARY","BERTIE COUNTY","080360",3.70036e+11,37015,37,27924,"202 NORTH ACADEMY ST","COLERAIN","NC ",-76.7719,36.1994,217,198,16,214,17,12.76
"COLERIDGE ELEMENTARY","RANDOLPH COUNTY","760316",3.70378e+11,37151,37,27316,"4528 NC HWY 22 SOUTH","RAMSEUR","NC ",-79.6172,35.6453,351,184,35,219,26,13.5
"COLFAX ELEMENTARY","GUILFORD COUNTY","410346",3.70192e+11,37081,37,27235,"9112 WEST MARKET ST","COLFAX","NC ",-80.0071,36.1083,617,183,47,230,40.28,15.32
"COLLABORATIVE COLLEGE FOR TECHNOLOGY","IREDELL COUNTY","490320",3.70231e+11,37097,37,28677,"500 WEST BROAD ST","STATESVILLE","NC ",-80.8931,35.7835,201,63,19,82,9.5,21.16
"COLLEGE LAKES ELEMENTARY","CUMBERLAND COUNTY","260340",3.70001e+11,37051,37,28311,"4963 ROSEHILL RD","FAYETTEVILLE","NC ",-78.8992,35.1279,405,237,42,279,34,11.91
"COLLEGE PARK ELEMENTARY","NEW HANOVER COUNTY","650316",3.70333e+11,37129,37,28403,"5001 ORIOLE DR","WILMINGTON","NC ",-77.8639,34.2366,484,330,50,380,38.22,12.66
"COLLEGE PREP AND LEADERSHIP ACADEMY","GUILFORD COUNTY","41H000",3.70033e+11,37081,37,27409,"300 HWY 68 SOUTH","GREENSBORO","NC ",-79.9594,36.0709,155,93,7,100,13,11.92
"COLLETTSVILLE SCHOOL","CALDWELL COUNTY","140308",3.70058e+11,37027,37,28611,"4690 COLLETTSVILLE SCHOOL RD","COLLETTSVILLE","NC ",-81.6728,35.927,348,183,24,207,20.69,16.82
"COLLINSWOOD LANGUAGE ACADEMY","MECKLENBURG COUNTY","600344",3.70297e+11,37119,37,28209,"4000 APPLEGATE RD","CHARLOTTE","NC ",-80.8715,35.1847,718,333,47,380,46.59,15.41
"COLTRANE-WEBB ELEMENTARY","CABARRUS COUNTY","130311",3.70053e+11,37025,37,28025,"61 SPRING ST NW","CONCORD","NC ",-80.5857,35.4113,473,223,29,252,30.1,15.71
"COLUMBIA HIGH","TYRRELL COUNTY","890304",3.70459e+11,37177,37,27925,"902 MAIN ST","COLUMBIA","NC ",-76.2455,35.9191,139,62,18,80,16.56,8.39
"COLUMBIA MIDDLE","TYRRELL COUNTY","890306",3.70459e+11,37177,37,27925,"920 MAIN ST","COLUMBIA","NC ",-76.2472,35.9188,128,77,21,98,9.75,13.13
"COLUMBUS CHARTER SCHOOL","COLUMBUS COUNTY","24N000",3.70014e+11,37047,37,28472,"35 BACON'S WAY","WHITEVILLE","NC ",-78.7011,34.3461,834,188,165,353,40.7,20.49
"COMBS ELEMENTARY","WAKE COUNTY","920376",3.70472e+11,37183,37,27606,"2001 LORIMER RD","RALEIGH","NC ",-78.7015,35.7745,912,262,38,300,58.77,15.52
"COMFORT ELEMENTARY","JONES COUNTY","520308",3.7024e+11,37103,37,28522,"4384 HWY 41 WEST","COMFORT","NC ",-77.5119,35.0064,144,120,13,133,11,13.09
"COMMONWEALTH HIGH","MECKLENBURG COUNTY","60U000",3.70038e+11,37119,37,28202,"TBD","TBD","NC ",-80.7583,35.2095,NA,NA,NA,NA,NA,NA
"COMMUNITY CHARTER SCHOOL","MECKLENBURG COUNTY","60A000",3.70003e+11,37119,37,28204,"510 SOUTH TORRENCE ST","CHARLOTTE","NC ",-80.8334,35.2103,150,32,48,80,10.78,13.91
